read_name,clade
MG1058_s242.ctg000243l,ZA3312c
MG1058_s23.ctg000024l,Arctic96B-7
MG1058_s1364.ctg001365l,P41300E03
MG1058_s469.ctg000470l,Arctic95A-2
MG1058_s174.ctg000189l,HF770D10
MG1058_s1450.ctg001466l,P262000D03
MG1058_s147.ctg000149l,PN262000N21
MG1058_s158.ctg000159l,P41300E03
MG1058_s2436.ctg002466l,ZA3312c
MG1058_s227.ctg000228l,ZA3312c
MG1058_s1147.ctg001148l,P262000D03
MG1058_s773.ctg000803l,PN262000N21
MG1058_s3676.ctg003678l,A714018
MG1058_s789.ctg000790l,P41300E03
MG1058_s247.ctg000248l,PN262000N21
MG1058_s55.ctg000056l,P41300E03
MG1058_s651.ctg000652l,PN262000N21
MG1058_s1089.ctg001103l,ZA3312c
MG1058_s1515.ctg001520l,PN262000N21
MG1058_s4658.ctg004712l,A714018
MG1058_s7.ctg000384l,P262000D03
MG1058_s88.ctg000089l,P262000D03
MG1058_s1533.ctg001534l,P262000D03
MG1058_s2049.ctg002133l,PN262000N21
MG1058_s801.ctg000803l,Arctic96B-7
MG1058_s1840.ctg001841l,P41300E03
MG1058_s760.ctg000761l,P262000D03
MG1058_s1471.ctg001474l,P262000D03
MG1058_s1461.ctg001462l,PN262000N21
MG1058_s44.ctg000045l,PN262000N21
MG1058_s1429.ctg001433l,Arctic96B-7
MG1058_s220.ctg000225l,Arctic95A-2
MG1058_s223.ctg000224l,Arctic96B-7
MG1058_s2349.ctg002459l,Arctic96B-7
MG1058_s606.ctg000612l,P262000D03
MG1058_s2432.ctg002442l,PN262000N21
MG1058_s695.ctg000696l,ZA3312c
MG1058_s291.ctg000294l,P262000D03
MG1058_s3681.ctg003725l,ZA3312c
MG1058_s870.ctg000901l,P262000D03
MG1058_s1211.ctg001258l,P262000D03
MG1058_s832.ctg000833l,A714018
MG1058_s944.ctg000945l,PN262000N21
MG1058_s513.ctg000514l,Arctic96B-7
MG1058_s462.ctg000468l,Arctic96B-7
MG1058_s538.ctg000539l,PN262000N21
MG1058_s1908.ctg002001l,PN262000N21
