"","X..contig","classification","reason","lineage","lineage.scores","superkingdom","phylum","class","order","family","genus","species"
"155","MG1058_m54329U_210919_100542_10027913_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.93;0.93;0.93","Bacteria: 1.00","Candidatus Marinimicrobia: 0.93",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.93"
"156","MG1058_m54329U_210919_100542_10028000_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.94","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.94"
"158","MG1058_m54329U_210919_100542_10028137_ccs","taxid assigned","based on 15/16 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.96;0.95;0.95;0.62","Bacteria: 0.96","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.62"
"164","MG1058_m54329U_210919_100542_10029206_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.55;0.55;0.55;0.55","Bacteria: 0.55","Candidatus Marinimicrobia: 0.55",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.55"
"167","MG1058_m54329U_210919_100542_10029304_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.85;0.63;0.58;0.58","Bacteria: 0.85","Candidatus Marinimicrobia: 0.58",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.58"
"172","MG1058_m54329U_210919_100542_10029683_ccs","taxid assigned","based on 2/2 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"462","MG1058_m54329U_210919_100542_10094578_ccs","taxid assigned","based on 8/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.96;0.96;0.96","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.96"
"768","MG1058_m54329U_210919_100542_10159005_ccs","taxid assigned","based on 2/6 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.52;0.52","Bacteria: 1.00","Candidatus Marinimicrobia: 0.52",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.52"
"775","MG1058_m54329U_210919_100542_10159369_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"779","MG1058_m54329U_210919_100542_10159734_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.63;0.63;0.63;0.63","Bacteria: 0.63","Candidatus Marinimicrobia: 0.63",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.63"
"780","MG1058_m54329U_210919_100542_10159735_ccs","taxid assigned","based on 3/6 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 1.00"
"1049","MG1058_m54329U_210919_100542_10224448_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.88;0.88;0.88","Bacteria: 1.00","Candidatus Marinimicrobia: 0.88",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.88"
"1062","MG1058_m54329U_210919_100542_10225691_ccs","taxid assigned","based on 8/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.96;0.51;0.51;0.51","Bacteria: 0.96","Candidatus Marinimicrobia: 0.51",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.51"
"1066","MG1058_m54329U_210919_100542_10226272_ccs","taxid assigned","based on 5/6 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"1301","MG1058_m54329U_210919_100542_10289236_ccs","taxid assigned","based on 15/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"1325","MG1058_m54329U_210919_100542_10289969_ccs","taxid assigned","based on 9/15 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.78;0.78;0.78;0.78","Bacteria: 0.78","Candidatus Marinimicrobia: 0.78",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.78"
"1336","MG1058_m54329U_210919_100542_10290445_ccs","taxid assigned","based on 11/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.98;0.86;0.85;0.52","Bacteria: 0.98","Candidatus Marinimicrobia: 0.85",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.52"
"1339","MG1058_m54329U_210919_100542_10291062_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.87;0.87;0.87","Bacteria: 1.00","Candidatus Marinimicrobia: 0.87",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.87"
"1601","MG1058_m54329U_210919_100542_10354797_ccs","taxid assigned","based on 13/15 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.98;0.98;0.96;0.94","Bacteria: 0.98","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.94"
"1626","MG1058_m54329U_210919_100542_10355391_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.96;0.96;0.96;0.96","Bacteria: 0.96","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.96"
"1629","MG1058_m54329U_210919_100542_10355744_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"1926","MG1058_m54329U_210919_100542_10420639_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.90;0.90;0.90;0.73","Bacteria: 0.90","Candidatus Marinimicrobia: 0.90",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.73"
"1927","MG1058_m54329U_210919_100542_10420657_ccs","taxid assigned","based on 14/16 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.83;0.78;0.61","Bacteria: 1.00","Candidatus Marinimicrobia: 0.78",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.61"
"1944","MG1058_m54329U_210919_100542_10422367_ccs","taxid assigned","based on 9/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"1952","MG1058_m54329U_210919_100542_10422836_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.90;0.90;0.79;0.66","Bacteria: 0.90","Candidatus Marinimicrobia: 0.79",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.66"
"2275","MG1058_m54329U_210919_100542_10486488_ccs","taxid assigned","based on 7/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.87;0.87;0.66","Bacteria: 1.00","Candidatus Marinimicrobia: 0.87",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.66"
"2278","MG1058_m54329U_210919_100542_10486676_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.71","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.71"
"2341","MG1058_m54329U_210919_100542_1049367_ccs","taxid assigned","based on 20/22 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.88;0.59;0.59;0.59","Bacteria: 0.88","Candidatus Marinimicrobia: 0.59",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.59"
"2343","MG1058_m54329U_210919_100542_1049446_ccs","taxid assigned","based on 7/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.86;0.86;0.67","Bacteria: 1.00","Candidatus Marinimicrobia: 0.86",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.67"
"2381","MG1058_m54329U_210919_100542_1049991_ccs","taxid assigned","based on 21/23 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.95;0.72;0.72","Bacteria: 1.00","Candidatus Marinimicrobia: 0.72",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.72"
"2383","MG1058_m54329U_210919_100542_1050371_ccs","taxid assigned","based on 3/3 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.86","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.86"
