contig_name,47_sample_bam_bins,24_sample_bam_bins,assembly_bins,assembly_plus_bins,short_reads_bam_bins,transcriptomes_bam_bins
MG1058_s27.ctg000028l,47_sample_bam_bin.508,NA,assembly_bin.124,assembly_plus_bin.24,short_reads_bam_bin.37,tx_bam_bin.52
MG1058_s27.ctg000119l,47_sample_bam_bin.508,NA,assembly_bin.124,assembly_plus_bin.24,short_reads_bam_bin.37,tx_bam_bin.3
MG1058_s27.ctg000191l,47_sample_bam_bin.508,NA,assembly_bin.75,assembly_plus_bin.214,short_reads_bam_bin.37,tx_bam_bin.65
MG1058_s357.ctg000374l,47_sample_bam_bin.508,NA,NA,NA,short_reads_bam_bin.161,tx_bam_bin.52
MG1058_s791.ctg000821l,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.129,short_reads_bam_bin.157,tx_bam_bin.53
MG1058_s1601.ctg001661l,47_sample_bam_bin.508,NA,NA,NA,NA,tx_bam_bin.3
MG1058_s1932.ctg002010l,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.129,short_reads_bam_bin.157,tx_bam_bin.53
MG1058_s2137.ctg002232l,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.129,short_reads_bam_bin.157,NA
MG1058_s2432.ctg002553l,47_sample_bam_bin.508,24_sample_bam_bin.221,NA,NA,short_reads_bam_bin.165,tx_bam_bin.65
MG1058_s26.ctg002557l,47_sample_bam_bin.508,NA,NA,NA,short_reads_bam_bin.48,tx_bam_bin.3
MG1058_m54329U_210919_100542_82315754_ccs,47_sample_bam_bin.508,NA,NA,NA,short_reads_bam_bin.157,tx_bam_bin.53
MG1058_m54329U_210919_100542_115477206_ccs,47_sample_bam_bin.508,NA,NA,NA,NA,tx_bam_bin.3
MG1058_m54329U_210919_100542_121375144_ccs,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.115,short_reads_bam_bin.83,NA
MG1058_m54329U_210919_100542_122816829_ccs,47_sample_bam_bin.508,NA,NA,NA,short_reads_bam_bin.157,NA
MG1058_m54329U_210919_100542_127795971_ccs,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.115,short_reads_bam_bin.83,NA
MG1058_m54329U_210919_100542_128581993_ccs,47_sample_bam_bin.508,NA,NA,NA,NA,NA
MG1058_m54329U_210919_100542_158598412_ccs,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.173,short_reads_bam_bin.83,NA
MG1058_m54329U_210919_100542_158860630_ccs,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.115,short_reads_bam_bin.83,tx_bam_bin.65
MG1058_m54329U_210919_100542_179242544_ccs,47_sample_bam_bin.508,NA,NA,assembly_plus_bin.169,short_reads_bam_bin.133,tx_bam_bin.53
