bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
assembly_bin_1	240950	4	71906	53.44727833919548	0.0	0.0							
assembly_bin_10	235763	3	132529	39.404880876552724	0.0	0.0							
assembly_bin_100	1380575	20	75149	39.37433067054049	64.78873239436619	57.74647887323944	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TCS55	TCS55 sp014382015
assembly_bin_101	352262	10	40897	40.12413829620709	0.0	0.0							
assembly_bin_102	237429	3	97564	33.453245163076666	0.0	0.0							
assembly_bin_103	544591	13	44560	34.62997862913203	0.0	0.0							
assembly_bin_104	1083133	8	225552	56.04438483675075	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	UBA12578	UBA12578 sp002729195
assembly_bin_105	469659	10	54544	59.784642037289814	0.0	0.0							
assembly_bin_106	236964	6	37986	55.56934736240836	39.436619718309856	1.408450704225352	Bacteria	Acidobacteriota	UBA890	UBA890	UBA890	UBA890	UBA890 sp002722645
assembly_bin_107	236459	2	128448	46.49620618609712	0.0	0.0							
assembly_bin_108	265329	6	48115	46.218802833227855	0.0	0.0							
assembly_bin_109	1892939	25	90687	38.307108599383845	35.2112676056338	11.267605633802816	Bacteria	Nitrospinota	UBA9942	UBA9942	SZUA-224	SZUA-224	SZUA-224 sp003229375
assembly_bin_11	328578	7	50461	38.95189052763095	50.70422535211268	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Thioglobus	Thioglobus autotrophicus
assembly_bin_110	706633	14	50828	45.35814496355804	0.0	0.0	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA2156	UBA2156	UBA2156 sp002328165
assembly_bin_111	488569	10	47889	39.32964722076988	0.0	0.0							
assembly_bin_112	352102	6	66676	31.656911694948924	21.12676056338028	0.0							
assembly_bin_113	1440021	26	62673	65.29526624823049	60.563380281690144	23.943661971830984	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	UBA3125	UBA3125 sp002365325
assembly_bin_114	248909	4	56429	67.84525468587125	0.0	0.0	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	S20-B6	S20-B6 sp002329075
assembly_bin_115	1517408	4	605439	40.03287448102886	90.14084507042253	9.859154929577464	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Thioglobus	
assembly_bin_116	219112	4	121580	62.88778483354961	0.0	0.0							
assembly_bin_117	506056	10	53092	40.68750427137973	0.0	0.0	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua sp001828595
assembly_bin_118	253787	7	40775	42.20218425192063	36.61971830985915	4.225352112676056	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp000213335
assembly_bin_119	598103	12	73559	41.25168819557344	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	
assembly_bin_12	652432	14	52578	52.26468935037762	42.25352112676056	4.225352112676056	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	REDSEA-S09-B13	REDSEA-S09-B13 sp002731295
assembly_bin_120	950894	22	52312	65.43363461952794	0.0	0.0							
assembly_bin_121	604073	15	45352	43.24043680974541	0.0	0.0	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp002685535
assembly_bin_122	670400	14	52080	42.93139248792455	0.0	0.0							
assembly_bin_123	406552	13	29025	58.36179863688119	0.0	0.0							
assembly_bin_124	1721549	2	1376323	40.09714243775365	80.28169014084507	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA8229	UBA8229	UBA8229 sp002726775
