Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
assembly_bin.50	bacteria_odb10	40.3	29.8	10.5	8.1	51.6	124	1071	1071	0.000%	717
assembly_plus_bin.127	bacteria_odb10	5.6	4.8	0.8	1.6	92.8	124	1239	1239	0.000%	361
47_sample_bam_bin.424	bacteria_odb10	6.4	4.8	1.6	6.5	87.1	124	876	876	0.000%	438
47_sample_bam_bin.423	bacteria_odb10	1.6	1.6	0.0	3.2	95.2	124	870	870	0.000%	218
47_sample_bam_bin.275	bacteria_odb10	7.2	5.6	1.6	6.5	86.3	124	960	960	0.000%	542
short_reads_bam_bin.58	bacteria_odb10	0.8	0.0	0.8	1.6	97.6	124	945	945	0.000%	299
assembly_bin.119	bacteria_odb10	9.6	4.8	4.8	2.4	88.0	124	1143	1143	0.000%	629
24_sample_bam_bin.288	bacteria_odb10	7.2	5.6	1.6	3.2	89.6	124	975	975	0.000%	454
47_sample_bam_bin.63	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1209	1209	0.000%	189
assembly_bin.126	bacteria_odb10	6.5	6.5	0.0	3.2	90.3	124	1209	1209	0.000%	262
assembly_plus_bin.111	bacteria_odb10	16.1	11.3	4.8	4.0	79.9	124	945	945	0.000%	1373
short_reads_bam_bin.94	bacteria_odb10	1.6	0.8	0.8	0.0	98.4	124	1005	1005	0.000%	163
47_sample_bam_bin.64	bacteria_odb10	29.8	27.4	2.4	12.1	58.1	124	1029	1029	0.000%	1920
47_sample_bam_bin.90	bacteria_odb10	2.4	2.4	0.0	1.6	96.0	124	921	921	0.000%	213
24_sample_bam_bin.228	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124	1008	1008	0.000%	127
assembly_plus_bin.180	bacteria_odb10	3.2	3.2	0.0	4.0	92.8	124	1083	1083	0.000%	276
24_sample_bam_bin.413	bacteria_odb10	5.6	5.6	0.0	3.2	91.2	124	984	984	0.000%	688
short_reads_bam_bin.61	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	945	945	0.000%	173
24_sample_bam_bin.242	bacteria_odb10	46.0	25.0	21.0	2.4	51.6	124	1242	1242	0.000%	1373
short_reads_bam_bin.66	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	885	885	0.000%	273
assembly_plus_bin.128	bacteria_odb10	7.2	5.6	1.6	5.6	87.2	124	1203	1203	0.000%	336
assembly_bin.56	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124	1026	1026	0.000%	349
47_sample_bam_bin.425	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124	885	885	0.000%	242
