bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
assembly_plus_bin_1	561172	41	13133	59.18625218960452	0.0	0.0							
assembly_plus_bin_10	864337	45	25289	56.84855448013475	0.0	0.0							
assembly_plus_bin_100	755932	14	61597	53.745604491915756	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	GCA-2726415	
assembly_plus_bin_101	393236	31	12348	65.9807217727606	0.0	0.0							
assembly_plus_bin_102	322623	22	12406	40.18783572944015	0.0	0.0							
assembly_plus_bin_103	734453	58	11761	36.52025870250814	28.169014084507044	9.859154929577464	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	SAR86	AEGEAN-183	AEGEAN-183 sp012965075
assembly_plus_bin_104	501687	9	76160	56.21618827506407	0.0	0.0							
assembly_plus_bin_105	286564	6	46539	32.66266371025098	0.0	0.0							
assembly_plus_bin_106	233984	15	14616	50.03219254758987	0.0	0.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	UBA2166	UBA2166	UBA2166 sp002726235
assembly_plus_bin_107	336628	6	65858	55.4608872672535	0.0	0.0							
assembly_plus_bin_108	220681	5	46289	42.3816084307273	0.0	0.0							
assembly_plus_bin_109	857803	4	496212	46.677764257518454	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	S15-B10	UBA2125	UBA2125 sp002329125
assembly_plus_bin_11	342152	19	28126	37.66779619564374	35.2112676056338	1.408450704225352	Bacteria	Proteobacteria					
assembly_plus_bin_110	243005	17	12545	43.43134880450702	0.0	0.0							
assembly_plus_bin_111	324024	30	10517	64.0978779949566	0.0	0.0							
assembly_plus_bin_112	1299596	110	11623	33.48478751771479	0.0	0.0	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopelagicus	Nitrosopelagicus sp000484935
assembly_plus_bin_113	243248	5	48283	41.56422167525618	38.028169014084504	4.225352112676056	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA2128	UBA2128	UBA2128 sp002471865
assembly_plus_bin_114	927302	23	51168	65.50955012820093	0.0	0.0							
assembly_plus_bin_115	2012000	160	12296	38.579900031625336	35.2112676056338	45.070422535211264	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	GCA-002701945	GCA-002701945 sp012964215
assembly_plus_bin_116	214137	16	13204	34.92404888724791	0.0	0.0							
assembly_plus_bin_117	450041	33	11846	58.33206462232988	0.0	0.0							
assembly_plus_bin_118	236006	19	11418	37.00718633391799	0.0	0.0							
assembly_plus_bin_119	399781	28	13094	58.228625851694375	0.0	0.0							
assembly_plus_bin_12	1059209	7	243524	57.672856387182016	43.66197183098591	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	UBA12578	UBA12578 sp002729195
assembly_plus_bin_120	415227	22	20542	60.943119374740675	0.0	0.0							
assembly_plus_bin_121	4127679	334	12512	36.052157260302955	63.38028169014085	95.77464788732394	Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	D37C17	D37C17	D37C17 sp012964845
assembly_plus_bin_122	230119	17	13103	57.43601431317092	0.0	0.0	Bacteria	Methylomirabilota	Methylomirabilia	Methylomirabilales	Methylomirabilaceae	Methylomirabilis	Methylomirabilis sp002634395
assembly_plus_bin_123	1117159	89	11464	32.30036703426402	0.0	0.0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MS024-2A	MS024-2A sp902517245
assembly_plus_bin_124	381312	29	12207	50.18548871049477	0.0	0.0							
assembly_plus_bin_125	527842	33	14437	51.73704756678723	0.0	0.0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA1100	UBA1100	
assembly_plus_bin_126	697027	55	12436	36.970152917719204	56.578947368421055	26.31578947368421							
assembly_plus_bin_127	855433	66	12483	66.17419205777514	0.0	0.0							
assembly_plus_bin_128	304099	17	27329	47.664480893100844	0.0	0.0	Bacteria	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	GCA-002725925	GCA-002725925 sp002725925
assembly_plus_bin_129	474354	29	19393	38.32571952372914	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TCS55	TCS55 sp014382015
assembly_plus_bin_13	1380575	20	75149	39.37433067054049	64.78873239436619	57.74647887323944	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TCS55	TCS55 sp014382015
assembly_plus_bin_130	1090394	95	11217	43.41223603624909	0.0	0.0	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp002685535
assembly_plus_bin_131	278835	21	13776	56.50792846738365	0.0	0.0	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	Thalassarchaeum	Thalassarchaeum sp004195715
assembly_plus_bin_132	340833	5	70060	41.20220380583749	0.0	0.0							
assembly_plus_bin_133	324487	4	215410	43.83081466606779	0.0	0.0							
assembly_plus_bin_134	213042	3	113301	39.1816885125451	0.0	0.0							
assembly_plus_bin_135	220517	7	37177	61.08245244880298	0.0	0.0							
assembly_plus_bin_136	330389	3	216944	41.798168813280824	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	UBA2126 sp002730315
assembly_plus_bin_137	340931	9	40775	42.20251113383425	40.84507042253521	4.225352112676056	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp000213335
assembly_plus_bin_138	401881	30	12869	53.08641855898085	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	UBA11791	UBA11791 sp012960345
assembly_plus_bin_139	241645	13	19716	55.45209621386087	0.0	0.0							
assembly_plus_bin_14	1065521	9	225552	56.12022622049938	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	UBA12578	UBA12578 sp002729195
