Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
assembly_bin.50	bacteria_odb10	40.3	29.8	10.5	8.1	51.6	124	1071	1071	0.000%	717
47_sample_bam_bin.424	bacteria_odb10	1.6	1.6	0.0	0.8	97.6	124	957	957	0.000%	289
tx_bam_bin.65	bacteria_odb10	89.5	18.5	71.0	2.4	8.1	124	1167	1167	0.000%	7640
assembly_plus_bin.118	bacteria_odb10	5.6	4.0	1.6	4.8	89.6	124	882	882	0.000%	323
tx_bam_bin.62	bacteria_odb10	44.4	44.4	0.0	8.9	46.7	124	969	969	0.000%	895
47_sample_bam_bin.423	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	873	873	0.000%	469
47_sample_bam_bin.275	bacteria_odb10	5.6	5.6	0.0	0.0	94.4	124	819	819	0.000%	438
short_reads_bam_bin.58	bacteria_odb10	2.4	0.0	2.4	2.4	95.2	124	912	912	0.000%	1238
assembly_bin.119	bacteria_odb10	9.6	4.8	4.8	2.4	88.0	124	1143	1143	0.000%	629
assembly_plus_bin.129	bacteria_odb10	7.2	4.0	3.2	5.6	87.2	124	720	720	0.000%	712
short_reads_bam_bin.147	bacteria_odb10	45.1	39.5	5.6	15.3	39.6	124	960	960	0.000%	4825
assembly_bin.126	bacteria_odb10	6.5	6.5	0.0	3.2	90.3	124	1209	1209	0.000%	262
short_reads_bam_bin.94	bacteria_odb10	4.8	3.2	1.6	4.0	91.2	124	855	855	0.000%	464
47_sample_bam_bin.412	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124	1020	1020	0.000%	528
47_sample_bam_bin.90	bacteria_odb10	1.6	0.8	0.8	0.8	97.6	124	918	918	0.000%	385
tx_bam_bin.53	bacteria_odb10	62.9	37.9	25.0	15.3	21.8	124	1023	1023	0.000%	3216
47_sample_bam_bin.210	bacteria_odb10	8.1	8.1	0.0	4.8	87.1	124	894	894	0.000%	383
tx_bam_bin.38	bacteria_odb10	8.9	7.3	1.6	0.8	90.3	124	822	822	0.000%	605
assembly_plus_bin.174	bacteria_odb10	3.2	3.2	0.0	0.0	96.8	124	966	966	0.000%	403
24_sample_bam_bin.221	bacteria_odb10	51.6	28.2	23.4	3.2	45.2	124	1191	1191	0.000%	1994
assembly_plus_bin.173	bacteria_odb10	17.8	8.9	8.9	6.5	75.7	124	927	927	0.000%	2976
tx_bam_bin.52	bacteria_odb10	59.7	59.7	0.0	3.2	37.1	124	1458	1458	0.000%	1130
short_reads_bam_bin.61	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	978	978	0.000%	316
47_sample_bam_bin.65	bacteria_odb10	0.0	0.0	0.0	0.8	99.2	124	972	972	0.000%	296
short_reads_bam_bin.146	bacteria_odb10	3.2	2.4	0.8	2.4	94.4	124	978	978	0.000%	1573
47_sample_bam_bin.62	bacteria_odb10	42.0	32.3	9.7	16.1	41.9	124	1023	1023	0.000%	2733
47_sample_bam_bin.96	bacteria_odb10	12.9	9.7	3.2	4.8	82.3	124	765	765	0.000%	1512
assembly_bin.56	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124	1026	1026	0.000%	349
assembly_plus_bin.121	bacteria_odb10	43.5	26.6	16.9	14.5	42.0	124	885	885	0.000%	5527
47_sample_bam_bin.422	bacteria_odb10	8.0	5.6	2.4	5.6	86.4	124	879	879	0.000%	713
47_sample_bam_bin.54	bacteria_odb10	29.8	25.0	4.8	20.2	50.0	124	915	915	0.000%	1876
47_sample_bam_bin.425	bacteria_odb10	8.0	5.6	2.4	2.4	89.6	124	1017	1017	0.000%	406
short_reads_bam_bin.123	bacteria_odb10	5.6	4.8	0.8	2.4	92.0	124	816	816	0.000%	2231
47_sample_bam_bin.38	bacteria_odb10	12.1	11.3	0.8	7.3	80.6	124	870	870	0.000%	550
tx_bam_bin.37	bacteria_odb10	8.9	8.9	0.0	6.5	84.6	124	1170	1170	0.000%	423
assembly_plus_bin.188	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124	1026	1026	0.000%	349
47_sample_bam_bin.229	bacteria_odb10	3.2	3.2	0.0	1.6	95.2	124	897	897	0.000%	684
assembly_plus_bin.144	bacteria_odb10	34.7	33.9	0.8	8.9	56.4	124	1017	1017	0.000%	1398
assembly_plus_bin.24	bacteria_odb10	71.8	71.8	0.0	4.0	24.2	124	1437	1437	0.000%	1421
assembly_plus_bin.235	bacteria_odb10	5.6	4.0	1.6	2.4	92.0	124	1053	1053	0.000%	692
24_sample_bam_bin.194	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	807	807	0.000%	320
47_sample_bam_bin.352	bacteria_odb10	12.9	9.7	3.2	0.8	86.3	124	1140	1140	0.000%	2271
47_sample_bam_bin.158	bacteria_odb10	6.5	6.5	0.0	4.8	88.7	124	765	765	0.000%	1009
assembly_plus_bin.41	bacteria_odb10	18.5	16.1	2.4	6.5	75.0	124	966	966	0.000%	883
24_sample_bam_bin.133	bacteria_odb10	25.8	24.2	1.6	2.4	71.8	124	921	921	0.000%	475
assembly_plus_bin.266	bacteria_odb10	51.6	30.6	21.0	7.3	41.1	124	1098	1098	0.000%	1348
24_sample_bam_bin.166	bacteria_odb10	28.3	21.0	7.3	8.9	62.8	124	921	921	0.000%	1561
47_sample_bam_bin.159	bacteria_odb10	13.7	13.7	0.0	6.5	79.8	124	708	708	0.000%	372
47_sample_bam_bin.502	bacteria_odb10	3.2	2.4	0.8	5.6	91.2	124	1032	1032	0.000%	365
24_sample_bam_bin.195	bacteria_odb10	4.8	4.8	0.0	5.6	89.6	124	903	903	0.000%	744
assembly_plus_bin.13	bacteria_odb10	45.9	29.8	16.1	8.9	45.2	124	1035	1035	0.000%	1704
assembly_plus_bin.202	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	894	894	0.000%	504
47_sample_bam_bin.391	bacteria_odb10	12.1	10.5	1.6	0.0	87.9	124	1044	1044	0.000%	489
47_sample_bam_bin.362	bacteria_odb10	6.4	4.8	1.6	4.0	89.6	124	1035	1035	0.000%	354
assembly_plus_bin.82	bacteria_odb10	2.4	2.4	0.0	0.8	96.8	124	1299	1299	0.000%	281
assembly_plus_bin.85	bacteria_odb10	7.2	5.6	1.6	2.4	90.4	124	1101	1101	0.000%	271
47_sample_bam_bin.117	bacteria_odb10	0.8	0.8	0.0	0.8	98.4	124	2082	2082	0.000%	740
assembly_bin.4	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	963	963	0.000%	244
24_sample_bam_bin.126	bacteria_odb10	4.8	4.8	0.0	0.0	95.2	124	780	780	0.000%	390
tx_bam_bin.9	bacteria_odb10	31.5	20.2	11.3	11.3	57.2	124	1143	1143	0.000%	2728
assembly_plus_bin.227	bacteria_odb10	58.1	58.1	0.0	5.6	36.3	124	1215	1215	0.000%	1046
47_sample_bam_bin.175	bacteria_odb10	10.5	6.5	4.0	2.4	87.1	124	990	990	0.000%	518
47_sample_bam_bin.371	bacteria_odb10	2.4	1.6	0.8	2.4	95.2	124	996	996	0.000%	327
assembly_plus_bin.229	bacteria_odb10	8.0	5.6	2.4	0.0	92.0	124	1176	1176	0.000%	786
assembly_plus_bin.216	bacteria_odb10	9.6	5.6	4.0	2.4	88.0	124	1137	1137	0.000%	608
24_sample_bam_bin.118	bacteria_odb10	0.8	0.8	0.0	0.8	98.4	124	2280	2280	0.000%	782
assembly_bin.5	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124	906	906	0.000%	312
assembly_bin.2	bacteria_odb10	0.8	0.8	0.0	0.8	98.4	124	1299	1299	0.000%	223
47_sample_bam_bin.377	bacteria_odb10	11.3	10.5	0.8	2.4	86.3	124	1080	1080	0.000%	406
assembly_plus_bin.37	bacteria_odb10	4.8	0.8	4.0	0.0	95.2	124	1095	1095	0.000%	319
assembly_plus_bin.228	bacteria_odb10	7.3	7.3	0.0	2.4	90.3	124	1002	1002	0.000%	590
24_sample_bam_bin.189	bacteria_odb10	25.0	18.5	6.5	4.0	71.0	124	939	939	0.000%	2339
assembly_plus_bin.30	bacteria_odb10	5.6	0.8	4.8	3.2	91.2	124	873	873	0.000%	305
tx_bam_bin.6	bacteria_odb10	9.7	8.1	1.6	1.6	88.7	124	1068	1068	0.000%	303
assembly_plus_bin.39	bacteria_odb10	7.3	7.3	0.0	1.6	91.1	124	1128	1128	0.000%	344
47_sample_bam_bin.510	bacteria_odb10	12.9	10.5	2.4	1.6	85.5	124	915	915	0.000%	441
47_sample_bam_bin.379	bacteria_odb10	67.0	46.0	21.0	16.9	16.1	124	1209	1209	0.000%	4113
47_sample_bam_bin.173	bacteria_odb10	6.4	5.6	0.8	3.2	90.4	124	735	735	0.000%	547
tx_bam_bin.8	bacteria_odb10	47.5	30.6	16.9	8.1	44.4	124	996	996	0.000%	1511
47_sample_bam_bin.465	bacteria_odb10	8.9	8.9	0.0	4.0	87.1	124	918	918	0.000%	419
assembly_plus_bin.195	bacteria_odb10	29.8	29.0	0.8	3.2	67.0	124	945	945	0.000%	352
assembly_bin.16	bacteria_odb10	24.2	21.8	2.4	2.4	73.4	124	1083	1083	0.000%	271
assembly_bin.20	bacteria_odb10	5.6	4.8	0.8	1.6	92.8	124	1239	1239	0.000%	361
tx_bam_bin.46	bacteria_odb10	39.5	29.0	10.5	6.5	54.0	124	912	912	0.000%	1686
47_sample_bam_bin.256	bacteria_odb10	12.9	9.7	3.2	4.0	83.1	124	957	957	0.000%	971
tx_bam_bin.41	bacteria_odb10	6.4	5.6	0.8	3.2	90.4	124	993	993	0.000%	880
47_sample_bam_bin.82	bacteria_odb10	4.8	4.8	0.0	2.4	92.8	124	996	996	0.000%	332
47_sample_bam_bin.49	bacteria_odb10	15.3	12.9	2.4	4.8	79.9	124	984	984	0.000%	677
24_sample_bam_bin.256	bacteria_odb10	0.0	0.0	0.0	1.6	98.4	124	834	834	0.000%	426
24_sample_bam_bin.260	bacteria_odb10	3.2	3.2	0.0	0.8	96.0	124	984	984	0.000%	273
47_sample_bam_bin.47	bacteria_odb10	4.0	2.4	1.6	0.8	95.2	124	1158	1158	0.000%	1189
47_sample_bam_bin.431	bacteria_odb10	4.8	4.8	0.0	3.2	92.0	124	693	693	0.000%	417
assembly_plus_bin.132	bacteria_odb10	5.6	4.8	0.8	1.6	92.8	124	1239	1239	0.000%	361
assembly_bin.45	bacteria_odb10	4.8	0.8	4.0	0.0	95.2	124	1095	1095	0.000%	319
47_sample_bam_bin.204	bacteria_odb10	25.8	25.8	0.0	7.3	66.9	124	933	933	0.000%	365
assembly_bin.21	bacteria_odb10	7.2	5.6	1.6	5.6	87.2	124	1203	1203	0.000%	336
tx_bam_bin.14	bacteria_odb10	40.3	25.8	14.5	10.5	49.2	124	1059	1059	0.000%	2661
assembly_plus_bin.169	bacteria_odb10	6.4	2.4	4.0	2.4	91.2	124	954	954	0.000%	968
assembly_plus_bin.160	bacteria_odb10	5.6	5.6	0.0	4.0	90.4	124	957	957	0.000%	476
47_sample_bam_bin.235	bacteria_odb10	62.9	41.1	21.8	15.3	21.8	124	1035	1035	0.000%	3338
short_reads_bam_bin.131	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	1470	1470	0.000%	214
assembly_bin.28	bacteria_odb10	7.2	5.6	1.6	2.4	90.4	124	1101	1101	0.000%	271
assembly_bin.10	bacteria_odb10	1.6	0.0	1.6	1.6	96.8	124	945	945	0.000%	292
47_sample_bam_bin.292	bacteria_odb10	12.1	7.3	4.8	5.6	82.3	124	972	972	0.000%	538
24_sample_bam_bin.266	bacteria_odb10	23.4	21.8	1.6	8.1	68.5	124	933	933	0.000%	299
assembly_plus_bin.133	bacteria_odb10	7.2	5.6	1.6	5.6	87.2	124	1203	1203	0.000%	336
47_sample_bam_bin.295	bacteria_odb10	4.8	4.8	0.0	1.6	93.6	124	855	855	0.000%	714
47_sample_bam_bin.437	bacteria_odb10	8.8	5.6	3.2	4.0	87.2	124	1065	1065	0.000%	664
short_reads_bam_bin.165	bacteria_odb10	81.5	33.9	47.6	7.3	11.2	124	1074	1074	0.000%	5032
24_sample_bam_bin.261	bacteria_odb10	14.5	14.5	0.0	6.5	79.0	124	702	702	0.000%	392
