"bin","X","sample","Dataset","Complete","Single","Duplicated","Fragmented","Missing","n_markers","Scaffold.N50","Contigs.N50","Percent.gaps","Number.of.scaffolds","sum_len"
"24_sample_bam_bin.11",1,"24_sample_bam_bins","bacteria_odb10",12.1,11.3,0.8,2.4,85.5,124,16860,16860,"0.000%",34,576810
"24_sample_bam_bin.118",2,"24_sample_bam_bins","bacteria_odb10",0.8,0.8,0,1.6,97.6,124,11016,11016,"0.000%",82,913463
"24_sample_bam_bin.134",3,"24_sample_bam_bins","bacteria_odb10",14.5,13.7,0.8,4.8,80.7,124,12734,12734,"0.000%",48,605550
"24_sample_bam_bin.156",4,"24_sample_bam_bins","bacteria_odb10",32.3,24.2,8.1,4.8,62.9,124,11009,11009,"0.000%",210,2297295
"24_sample_bam_bin.164",5,"24_sample_bam_bins","bacteria_odb10",8.9,8.1,0.8,1.6,89.5,124,10322,10322,"0.000%",25,265173
"24_sample_bam_bin.226",6,"24_sample_bam_bins","bacteria_odb10",8.1,8.1,0,2.4,89.5,124,11926,11926,"0.000%",37,477421
"47_sample_bam_bin.102",7,"47_sample_bam_bins","bacteria_odb10",17.7,16.1,1.6,0,82.3,124,11296,11296,"0.000%",31,360585
"47_sample_bam_bin.117",8,"47_sample_bam_bins","bacteria_odb10",0.8,0.8,0,1.6,97.6,124,11202,11202,"0.000%",77,855520
"47_sample_bam_bin.146",9,"47_sample_bam_bins","bacteria_odb10",21.8,20.2,1.6,8.1,70.1,124,11218,11218,"0.000%",118,1327271
"47_sample_bam_bin.150",10,"47_sample_bam_bins","bacteria_odb10",22.6,22.6,0,3.2,74.2,124,10831,10831,"0.000%",88,952521
"47_sample_bam_bin.298",11,"47_sample_bam_bins","bacteria_odb10",0.8,0.8,0,1.6,97.6,124,11564,11564,"0.000%",18,200678
"47_sample_bam_bin.386",12,"47_sample_bam_bins","bacteria_odb10",4,3.2,0.8,2.4,93.6,124,12734,12734,"0.000%",47,581974
"47_sample_bam_bin.398",13,"47_sample_bam_bins","bacteria_odb10",50,42.7,7.3,14.5,35.5,124,15048,15048,"0.000%",173,2783283
"47_sample_bam_bin.404",14,"47_sample_bam_bins","bacteria_odb10",13.7,12.9,0.8,4.8,81.5,124,11338,11338,"0.000%",52,585100
"47_sample_bam_bin.407",15,"47_sample_bam_bins","bacteria_odb10",18.5,16.9,1.6,7.3,74.2,124,10879,10879,"0.000%",114,1233408
"47_sample_bam_bin.41",16,"47_sample_bam_bins","bacteria_odb10",97.6,97.6,0,2.4,0,124,2471245,2471245,"0.000%",4,3415137
"47_sample_bam_bin.81",17,"47_sample_bam_bins","bacteria_odb10",99.2,99.2,0,0.8,0,124,3034959,3034959,"0.000%",5,3453497
"assembly_bin.125",18,"assembly_bins","bacteria_odb10",99.2,99.2,0,0.8,0,124,3034959,3034959,"0.000%",3,3430583
"assembly_bin.67",19,"assembly_bins","bacteria_odb10",97.6,97.6,0,2.4,0,124,2471245,2471245,"0.000%",4,3415137
"assembly_plus_bin.27",20,"assembly_plus_bins","bacteria_odb10",97.6,97.6,0,2.4,0,124,2471245,2471245,"0.000%",4,3415137
"assembly_plus_bin.4",21,"assembly_plus_bins","bacteria_odb10",99.2,99.2,0,0.8,0,124,3034959,3034959,"0.000%",3,3430583
"short_reads_bam_bin.38",22,"short_reads_bam_bins","bacteria_odb10",99.2,99.2,0,0.8,0,124,3034959,3034959,"0.000%",3,3430583
"tx_bam_bin.12",23,"transcriptomes_bam_bins","bacteria_odb10",97.6,97.6,0,2.4,0,124,2471245,2471245,"0.000%",2,2950738
