"","gene_callers_id","COG20_FUNCTION","COG20_CATEGORY","COG20_PATHWAY","plasmid"
"1",2,"Cysteine synthase (CysK) (PDB:1FCJ)","Amino acid transport and metabolism","Cysteine biosynthesis","plasmid3_sulf1"
"2",4,"Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)","General function prediction only",NA,"plasmid3_sulf1"
"3",5,"Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)","Transcription",NA,"plasmid3_sulf1"
"4",6,"Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module (HipA) (PDB:2WIU)","Signal transduction mechanisms",NA,"plasmid3_sulf1"
"5",7,"Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases (Cof) (PDB:1YMQ)","Cell wall/membrane/envelope biogenesis!!!Coenzyme transport and metabolism!!!General function prediction only",NA,"plasmid3_sulf1"
"6",8,"Predicted glycosyl transferase","General function prediction only",NA,"plasmid3_sulf1"
"7",9,"Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)","Carbohydrate transport and metabolism",NA,"plasmid3_sulf1"
"8",10,"Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"9",11,"Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)","Mobilome: prophages, transposons",NA,"plasmid3_sulf1"
"10",12,"Transposase InsO and inactivated derivatives (Tra5)","Mobilome: prophages, transposons",NA,"plasmid3_sulf1"
"11",13,"Transposase","Mobilome: prophages, transposons",NA,"plasmid3_sulf1"
"12",15,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid3_sulf1"
"13",17,"D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily (DltB) (PDB:6BUG)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"14",19,"Ketopantoate reductase (PanE) (PDB:1BG6)","Coenzyme transport and metabolism","Pantothenate/CoA biosynthesis","plasmid3_sulf1"
"15",20,"Transposase","Mobilome: prophages, transposons",NA,"plasmid3_sulf1"
"16",21,"Transposase and inactivated derivatives, IS30 family (Tra8)","Mobilome: prophages, transposons",NA,"plasmid3_sulf1"
"17",22,"Transposase and inactivated derivatives, IS30 family (Tra8)","Mobilome: prophages, transposons",NA,"plasmid3_sulf1"
"18",23,"Transposase and inactivated derivatives, IS30 family (Tra8)","Mobilome: prophages, transposons",NA,"plasmid3_sulf1"
"19",26,"Adenylylsulfate kinase or related kinase (CysC) (PDB:2GKS)!!!ATP sulfurylase (sulfate adenylyltransferase) (MET3) (PDB:1G8F)","Inorganic ion transport and metabolism!!!Inorganic ion transport and metabolism","Cysteine biosynthesis!!!Cysteine biosynthesis","plasmid3_sulf1"
"20",27,"Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"21",28,"UDP-N-acetyl-D-mannosaminuronate dehydrogenase (WecC) (PDB:3OJL)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"22",29,"Predicted dehydrogenase (MviM) (PDB:3UUW)","General function prediction only",NA,"plasmid3_sulf1"
"23",30,"Serine acetyltransferase (CysE) (PDB:1T3D)","Amino acid transport and metabolism","Cysteine biosynthesis","plasmid3_sulf1"
"24",31,"dTDP-4-amino-4,6-dideoxygalactose transaminase (WecE) (PDB:4PIW) (PUBMED:15271350)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"25",33,"Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"26",34,"Membrane protein involved in the export of O-antigen and teichoic acid (RfbX)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"27",35,"UDP-N-acetylglucosamine 2-epimerase (WecB) (PDB:1F6D) (PUBMED:26641313;30389844)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"28",36,"Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"29",37,"Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
